day,daily_tweet_count,daily_score
2015-12-17,912,0.07861173245614035
2015-12-18,1129,0.03694464127546501
2015-12-19,331,0.15028882175226588
2015-12-20,331,0.18504199395770393
2015-12-21,1093,0.12647483989021044
2015-12-22,872,0.07355848623853212
2015-12-23,864,0.10182615740740741
2015-12-24,478,0.17598430962343095
2015-12-25,237,0.38084177215189874
2015-12-26,267,0.1650243445692884
2015-12-27,332,0.22019518072289157
2015-12-28,742,0.14786617250673856
2015-12-29,884,0.12819309954751132
2015-12-30,785,0.08963019108280255
2015-12-31,923,0.09151310942578549
2016-01-01,417,0.23437889688249403
2016-01-02,390,0.07378435897435898
2016-01-03,411,0.19236447688564476
2016-01-04,1218,0.18727339901477832
2016-01-05,1186,0.2756719224283305
2016-01-06,1820,0.05017758241758242
2016-01-07,2000,0.04417365
2016-01-08,1620,0.022747098765432096
2016-01-09,501,0.23966287425149702
2016-01-10,471,0.1339443736730361
2016-01-11,1165,0.015065836909871245
2016-01-12,1030,-0.6548916504854368
2016-01-13,1129,0.1149808680248007
2016-01-14,987,-0.0647869300911854
2016-01-15,1112,0.0147169964028777
2016-01-16,373,0.14519088471849864
2016-01-17,350,0.31451914285714283
2016-01-18,517,0.13434990328820115
2016-01-19,905,0.10174099447513811
2016-01-20,1252,0.04024640575079872
2016-01-21,839,0.061654231227651964
2016-01-22,1184,0.11828614864864866
2016-01-23,386,0.08958082901554405
2016-01-24,376,0.061706382978723405
2016-01-25,994,0.14284094567404426
2016-01-26,1890,0.2710456084656085
2016-01-27,3201,0.09279762574195564
2016-01-28,1468,0.05106069482288828
2016-01-29,1274,0.3030675824175824
2016-01-30,739,0.06059296346414074
2016-01-31,406,-0.0410512315270936
2016-02-01,1014,0.38749674556213015
2016-02-02,961,0.2994140478668054
2016-02-03,932,0.2814752145922747
2016-02-04,789,0.24550735107731306
2016-02-05,726,0.10839407713498624
2016-02-06,303,-0.09214158415841583
2016-02-07,295,0.17664000000000002
2016-02-08,862,0.19524733178654294
2016-02-09,1136,-0.007644190140845072
2016-02-10,896,0.12047176339285715
2016-02-11,1002,0.02401546906187625
2016-02-12,1144,0.03952395104895105
2016-02-13,625,0.020351519999999998
2016-02-14,443,0.10242686230248306
2016-02-15,796,0.015147864321608043
2016-02-16,1482,0.1012910931174089
2016-02-17,2015,0.05885096774193548
2016-02-18,2373,0.04437914032869785
2016-02-19,783,-0.14455351213282247
2016-02-20,1149,-0.0007785900783289825
2016-02-21,575,0.07398139130434782
2016-02-22,1899,-0.003613006845708264
2016-02-23,1796,-0.06184888641425389
2016-02-24,1626,-0.015825092250922504
2016-02-25,2092,0.06191658699808795
2016-02-26,1893,0.042610618066561017
2016-02-27,689,0.044260522496371565
2016-02-28,435,0.03617402298850575
2016-02-29,1160,0.09784974137931035
2016-03-01,1961,0.018872004079551252
2016-03-02,1407,-0.4068144989339019
2016-03-03,1595,0.0922825078369906
2016-03-04,1426,0.03999123422159888
2016-03-05,537,0.09070558659217877
2016-03-06,439,0.024175170842824605
2016-03-07,1398,-0.005204005722460659
2016-03-08,1380,0.08748260869565218
2016-03-09,992,-0.0004943548387096777
2016-03-10,1375,0.008956436363636367
2016-03-11,1483,0.0020080242751180045
2016-03-12,401,0.1763785536159601
2016-03-13,298,0.09139362416107383
2016-03-14,1038,0.05916271676300579
2016-03-15,1356,0.08629491150442478
2016-03-16,1422,0.09695738396624473
2016-03-17,1601,-0.020309494066208626
2016-03-18,1202,0.0811688019966722
2016-03-19,437,0.21218558352402744
2016-03-20,486,0.09053497942386832
2016-03-21,4037,0.046321129551647265
2016-03-22,2830,0.06030328621908127
2016-03-23,1653,0.07650199637023594
2016-03-24,1544,0.055469300518134715
2016-03-25,830,0.14946361445783132
2016-03-26,372,0.35292284946236563
2016-03-27,365,0.4617830136986302
2016-03-28,1440,0.11131166666666666
2016-03-29,1767,0.02111007357102434
2016-03-30,1890,0.09035645502645503
2016-03-31,1540,0.11472863636363638
2016-04-01,1338,0.16989237668161436
2016-04-02,379,0.0959778364116095
2016-04-03,361,0.03438005540166205
2016-04-04,1337,0.10316222887060583
2016-04-05,1174,0.07342274275979557
2016-04-06,1271,0.055414634146341464
2016-04-07,1289,-0.025445384018619087
2016-04-08,1236,0.06978826860841425
2016-04-09,382,0.11989162303664921
2016-04-10,336,0.045094940476190476
2016-04-11,942,0.1548012738853503
2016-04-12,1121,0.04425798394290812
2016-04-13,1196,0.0647103678929766
2016-04-14,1207,0.07740182270091135
2016-04-15,1777,0.03249155880697805
2016-04-16,523,0.10744894837476099
2016-04-17,334,0.17092904191616767
2016-04-18,1423,0.04418460997891778
2016-04-19,1768,0.04198783936651584
2016-04-20,1278,0.043761424100156494
2016-04-21,1143,0.047806911636045495
2016-04-22,1386,-0.0535948051948052
2016-04-23,578,0.0304446366782007
2016-04-24,389,0.5599339331619537
2016-04-25,1283,-0.05726944660950898
2016-04-26,1635,0.12828948012232416
2016-04-27,4262,0.1839454950727358
2016-04-28,2777,0.04279016924738927
2016-04-29,1973,0.31423066396350735
2016-04-30,551,0.1324896551724138
2016-05-01,387,0.019852971576227393
2016-05-02,1459,0.0705659355723098
2016-05-03,2087,0.10315630091039771
2016-05-04,1666,0.00688883553421368
2016-05-05,1568,-0.05391071428571428
2016-05-06,1811,0.03420800662617338
2016-05-07,401,-0.01753491271820449
2016-05-08,378,0.2012484126984127
